X;Y;CODESC;NOMEESC;END_ESC;NUM_ESC;BAIRRO;NOMDIST
-46.660232;-23.744002;35057812;CEU CEI NAVEGANTES;RUA MARIA MOASSAB BARBOUR;SN;CANTINHO DO CEU;GRAJAU
-46.660364;-23.743456;35057733;CEU EMEI NAVEGANTES;RUA MARIA MOASSAB BARBOUR;SN;CANTINHO DO CEU;GRAJAU
-46.658312;-23.709866;35902500;FRANCISCO ALVES MOURAO PROFESSOR;RUA ADELINA MARIA DE JESUS;15;JD APURA;PEDREIRA
-46.654128;-23.709626;35336683;CR P CONV NOSSA SENHORA DAS GRACAS;ROQUE CORDEIRO;12;JARDIM APURA;PEDREIRA
-46.659477;-23.695389;35279249;CEI DIRET BALNEARIO MAR PAULISTA;RUA MATSUICHI WADA;SN;BALNEARIO MAR PAULISTA;PEDREIRA
-46.657666;-23.696234;35336661;CR P CONV SAO FRANCISCO DE ASSIS;ARNOLDO MATTERS;22;BALNEARIO MAR PAULISTA;PEDREIRA
-46.660841;-23.694427;35137085;UNIAO BRASILEIRA COLEGIO;RUA JOAQUIM DO LAGO;121;BAL M PAULISTA;PEDREIRA
-46.659283;-23.694172;35810630;UNIAO BRASILEIRA INSTITUTO DE EDUCACAO;R CONCEICAO DA BOA VIAGEM;71;MAR PAULISTA;PEDREIRA
-46.659224;-23.693019;35257813;PEDREIRA CENTRO EDUCACIONAL DE;R JOSE VIEIRA MARTINS;270;JD NASTARI;PEDREIRA
-46.655603;-23.694969;35053855;EMEF JOAO SUSSUMU HIRATA DEP;ESTRADA DO ALVARENGA;2113;JARDIM OFELIA;PEDREIRA
-46.656034;-23.694119;35223256;EMEI ARTHUR BAPTISTA DA LUZ;RUA CUNHA MENDES;90;JARDIM ITAPURA;PEDREIRA
-46.655477;-23.694058;35183738;CEI INDIR MARIA ESTEFANO MALUF;RUA DOM JOAO BATISTA NERI;381;JARDIM ITAPURA;PEDREIRA
-46.652178;-23.700649;35004960;EUGENIO ZERBINI PROFESSOR;R PIAVUNAS, DOS;10;BAL S FRANCISCO;PEDREIRA
-46.649571;-23.701485;35142876;ZAMPIERI COLEGIO;R ACARAPEVAS, DOS;80;BAL S FRANCISCO;PEDREIRA
-46.649798;-23.700713;35468940;GAROUPAS ATELIE DE EDUCACAO INFANTIL;AVENIDA DAS GAROUPAS;324;BALNEARIO SAO FRANCISCO;PEDREIRA
-46.648685;-23.694235;35054057;EMEF ISABEL VIEIRA FERREIRA PROFA;DAS ORQUIDEAS;130;PARQUE PRIMAVERA;PEDREIRA
-46.648795;-23.691477;35183751;CR P CONV CENT ORIENT ENCAM PEQUENO DEFICIENTE - COEPE II;RUA PADRE AUGUSTO LOMBARDI;20;VILA MISSIONARIA;PEDREIRA
